"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ats_h0p_power","ats_h0p_mc_se"
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"F.P.",5,2,6.6,0.99658,0.99708,0.000241307836590527
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"normal",1,0,0,1,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"F.P.",2,0,6,1,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"F.P.",3,0.5,1,1,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"F.P.",4,1,1.6,1,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"F.P.",5,2,6.6,1,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"normal",1,0,0,0.14958,0.23932,0.00190811916609
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"F.P.",2,0,6,0.26624,0.37826,0.00216877556422973
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.14384,0.22436,0.00186559690394254
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.11844,0.19554,0.00177371986739733
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.1517,0.21696,0.00184330333043696
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"normal",1,0,0,0.356,0.4855,0.00223512751314103
