"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ps_kw_rejection","ps_kw_mc_se","ps_ats_rejection","ps_ats_mc_se"
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.03232,0.03598,0.000832891824908853,0.046,0.000936845771725528
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03576,0.03712,0.000845483359978184,0.04566,0.000933543404454233
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.03812,0.04252,0.000902353030692533,0.0528,0.00100012159260762
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.07,0.07312,0.00116424624199522,0.0933,0.00130073140963075
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.2356,0.2426,0.001917004121018,0.3046,0.00205824604943141
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.08426,0.11792,0.00144232363635905,0.05742,0.00104041283729104
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07662,0.10548,0.00137371008295055,0.0574,0.0010402426639972
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.09298,0.13012,0.00150458489690678,0.06386,0.00109345233458071
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.13782,0.19282,0.00176431543438241,0.08896,0.00127315449494553
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.32892,0.42554,0.00221113413613919,0.20168,0.0017944646978974
