"alternative","n_per_group","delta","panel","skew","excess_kurtosis","group_means","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","rank_mc_se"
"onepoint",100,0.4,5,2,6.6,"0.000, 0.000, 0.000, 0.400",0.83872,0.88032,0.8502,0.9935,0.9935,0.9935,0.000359381412986264
"onepoint",100,0.6,1,0,0,"0.000, 0.000, 0.000, 0.600",0.9955,0.9952,0.99552,0.99326,0.99516,0.99548,0.000365911803581126
"onepoint",100,0.6,2,0,6,"0.000, 0.000, 0.000, 0.600",0.99466,0.99326,0.99438,0.99988,0.99988,0.99988,4.89868553797871e-05
"onepoint",100,0.6,3,0.5,1,"0.000, 0.000, 0.000, 0.600",0.99616,0.99648,0.99622,0.99766,0.99766,0.99764,0.000216079818585628
"onepoint",100,0.6,4,1,1.6,"0.000, 0.000, 0.000, 0.600",0.99636,0.99806,0.99702,0.99916,0.99916,0.99916,0.000129560364309456
"onepoint",100,0.6,5,2,6.6,"0.000, 0.000, 0.000, 0.600",0.99582,0.99898,0.99768,1,1,1,0
"onepoint",100,0.8,1,0,0,"0.000, 0.000, 0.000, 0.800",1,1,1,1,1,1,0
"onepoint",100,0.8,2,0,6,"0.000, 0.000, 0.000, 0.800",1,0.9999,0.99994,1,1,1,0
"onepoint",100,0.8,3,0.5,1,"0.000, 0.000, 0.000, 0.800",1,1,1,1,1,1,0
"onepoint",100,0.8,4,1,1.6,"0.000, 0.000, 0.000, 0.800",1,1,1,1,1,1,0
"onepoint",100,0.8,5,2,6.6,"0.000, 0.000, 0.000, 0.800",1,1,1,1,1,1,0
"onepoint",100,1,1,0,0,"0.000, 0.000, 0.000, 1.000",1,1,1,1,1,1,0
"onepoint",100,1,2,0,6,"0.000, 0.000, 0.000, 1.000",1,1,1,1,1,1,0
"onepoint",100,1,3,0.5,1,"0.000, 0.000, 0.000, 1.000",1,1,1,1,1,1,0
"onepoint",100,1,4,1,1.6,"0.000, 0.000, 0.000, 1.000",1,1,1,1,1,1,0
"onepoint",100,1,5,2,6.6,"0.000, 0.000, 0.000, 1.000",1,1,1,1,1,1,0
"onepoint",100,1.2,1,0,0,"0.000, 0.000, 0.000, 1.200",1,1,1,1,1,1,0
"onepoint",100,1.2,2,0,6,"0.000, 0.000, 0.000, 1.200",1,1,1,1,1,1,0
"onepoint",100,1.2,3,0.5,1,"0.000, 0.000, 0.000, 1.200",1,1,1,1,1,1,0
"onepoint",100,1.2,4,1,1.6,"0.000, 0.000, 0.000, 1.200",1,1,1,1,1,1,0
