"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se"
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"F.P.",2,0,6,0.90308,0.90644,0.00130235576091942,0.90474,0.00131290161398332
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.66748,0.67134,0.00210067895881308,0.66702,0.00210762577133608
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.57674,0.57424,0.00221128208241283,0.5717,0.00221295779444616
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.65854,0.66352,0.00211310770951222,0.6656,0.00210986558813589
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"normal",1,0,0,0.91408,0.91366,0.00125606850450125,0.91016,0.00127881800425236
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"F.P.",2,0,6,0.99178,0.9926,0.000383281619700188,0.99226,0.000391920716472094
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.89402,0.90148,0.00133277011971307,0.89856,0.00135018462737509
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.82334,0.82348,0.00170505536332402,0.8202,0.00171739314078053
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.8947,0.89278,0.00138364642593402,0.89322,0.00138114468177668
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"normal",1,0,0,0.99848,0.99802,0.000198800382293394,0.99786,0.000206660126778246
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"F.P.",2,0,6,1,1,0,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"F.P.",3,0.5,1,0.99736,0.99724,0.000234622351876371,0.997,0.000244581274835176
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.99016,0.98942,0.000457560129381921,0.98904,0.000465615257481968
